eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
5	-13	Box-224	0	0.108046	7056.05	0.23515	0.000355092	-0.1	8.61003e-5	0.000333595	3.98326	0.0519355	3.98326	0	0	8.04326	7.9376	0.0285583	-8.04251	0.00692463	0.0035509	-0.999993	0.000860998
5	-13	Box-223	0	0.381105	6960.05	0.472081	0.000366602	-0.1	0.000442511	0.000333599	4.30351	0.056158	4.30351	0	0	7.96476	7.8591	0.0291959	-7.96392	0.0352412	0.00366596	-0.999983	0.00442503
5	-13	Box-222	0	0.604633	6864.05	1.16472	3.05965e-5	-0.1	0.00108478	0.000333614	4.62377	0.0604218	4.62377	0	0	7.89234	7.78668	0.00241442	-7.89117	0.0856016	0.000305947	-0.999941	0.0108471
5	-13	Box-221	0	0.497051	6768.05	1.89715	-0.000180668	-0.1	0.000914592	0.000333609	4.94404	0.0647256	4.94404	0	0	7.82245	7.71679	-0.0141307	-7.8214	0.0715339	-0.0018066	-0.999957	0.00914552
5	-13	Box-220	0	0.206017	6672.05	2.87935	-0.000535388	-0.1	0.000961001	0.000333615	5.26431	0.0690668	5.26431	0	0	7.74704	7.64138	-0.0414704	-7.74585	0.0744377	-0.00535356	-0.999939	0.00960943
5	-13	Box-219	0	-0.418593	6576.05	4.07209	-0.000689108	-0.1	0.0015714	0.000333645	5.58459	0.0734533	5.58459	0	0	7.67128	7.56562	-0.0528506	-7.66942	0.120517	-0.00689006	-0.999853	0.0157117
5	-13	Box-218	0	-1.21421	6480.05	5.51924	-0.000926485	-0.1	0.00124761	0.000333637	5.90489	0.0778815	5.90489	0	0	7.60309	7.49744	-0.0704263	-7.60144	0.0948363	-0.00926374	-0.999879	0.0124746
5	-13	Box-217	0	-2.03793	6384.05	6.5186	-0.000950631	-0.1	0.000725448	0.000333621	6.22517	0.082347	6.22517	0	0	7.54075	7.43509	-0.0716725	-7.53947	0.0546949	-0.00950563	-0.999929	0.00725396
5	-13	Box-216	0	-2.89978	6288.05	7.28091	-0.000866357	-0.1	0.000781194	0.000333621	6.54545	0.0868686	6.54545	0	0	7.37244	7.26678	-0.0638607	-7.37118	0.0575832	-0.00866298	-0.999932	0.00781141
5	-13	Box-215	0	-3.4951	6192.05	8.24342	-0.000284696	-0.1	0.00127883	0.000333628	6.86573	0.0914779	6.86573	0	0	7.29195	7.18629	-0.020756	-7.29056	0.0932336	-0.00284672	-0.999914	0.0127872
5	-13	Box-214	0	-3.83352	6096.05	9.63527	-0.000514195	-0.1	0.0015027	0.000333642	7.18602	0.0961353	7.18602	0	6.0654e-8	7.22124	7.11558	-0.0371226	-7.21955	0.108488	-0.0051413	-0.999874	0.0150251
5	-13	Box-213	0	-4.14995	6000.05	11.3007	-7.37135e-5	-0.1	0.00191539	0.000333662	7.50633	0.100837	7.50633	0	0	7.15487	7.04921	-0.00527256	-7.15277	0.137003	-0.000737	-0.999816	0.0191504
5	-13	Box-212	0	-4.23697	5904.05	13.4532	-0.000117638	-0.1	0.00280117	0.000333732	7.82667	0.105581	7.82667	0	0	7.09394	6.98828	-0.00834099	-7.09036	0.198613	-0.00117592	-0.999607	0.0280007
5	-13	Box-211	0	-4.46263	5808.05	16.3772	-0.000451427	-0.1	0.00313286	0.000333769	8.14707	0.110377	8.14707	0	2.39836e-8	7.01077	6.90511	-0.0316291	-7.00647	0.219503	-0.00451201	-0.999499	0.0313129
5	-13	Box-210	0	-4.7123	5712.05	19.7702	-0.000130354	-0.1	0.00395447	0.000333864	8.46754	0.115231	8.46754	0	0	6.93109	6.82543	-0.00902686	-6.92487	0.273842	-0.00130252	-0.999218	0.0395137
5	-13	Box-209	0	-4.72907	5616.05	24.0379	0.00016939	-0.1	0.00510557	0.000334039	8.78811	0.120137	8.78811	0	1.89038e-8	6.86197	6.75631	0.0116069	-6.85222	0.349845	0.00169169	-0.998698	0.0509893
5	-13	Box-208	0	-4.86856	5520.05	29.479	-0.000571641	-0.1	0.00591659	0.000334193	9.10889	0.125093	9.10889	0	0	6.79681	6.69115	-0.0387802	-6.78401	0.401382	-0.00570633	-0.998238	0.0590617
5	-13	Box-207	0	-5.30179	5424.05	35.5698	-0.000112723	-0.1	0.00672331	0.000334359	9.4298	0.130103	9.4298	0	0	6.72795	6.62229	-0.0075659	-6.71196	0.451266	-0.00112469	-0.997747	0.0670816
5	-13	Box-206	0	-5.34559	5328.05	42.3651	0.000209823	-0.1	0.0077407	0.000334605	9.75087	0.135162	9.75087	0	0	6.6616	6.55594	0.0139341	-6.64088	0.514051	0.00209196	-0.997015	0.0771759
5	-13	Box-205	0	-5.10845	5232.05	49.9095	0.000364486	-0.1	0.00794676	0.000334661	10.0721	0.140279	10.0721	0	0	6.58835	6.4827	0.023935	-6.56676	0.521845	0.00363339	-0.996851	0.0792173
5	-13	Box-204	0	-4.46249	5136.05	57.5121	0.00112334	-0.1	0.00778229	0.000334638	10.3934	0.145455	10.3934	0	0	6.51795	6.41229	0.0729841	-6.49704	0.505619	0.0111989	-0.996923	0.0775834
5	-13	Box-203	0	-3.64479	5040.05	65.1544	0.000275909	-0.1	0.00794054	0.00033466	10.7147	0.150682	10.7147	0	0	6.4538	6.34814	0.0177483	-6.43266	0.510788	0.00275042	-0.996858	0.0791559
5	-13	Box-202	0	-3.37731	4944.05	73.0284	-8.01128e-5	-0.1	0.00844313	0.000334797	11.036	0.155966	11.036	0	0	6.38485	6.27919	-0.00509625	-6.36134	0.537096	-0.000798287	-0.996454	0.0841319
5	-13	Box-201	0	-3.07361	4848.05	81.2158	0.00098163	-0.1	0.00856345	0.000334848	11.3575	0.161308	11.3575	0	1.34783e-8	6.31091	6.20525	0.0617123	-6.28671	0.538359	0.00978004	-0.996306	0.0853182
5	-13	Box-200	0	-2.31964	4752.05	89.7436	0.000662112	-0.1	0.00919678	0.000335027	11.679	0.166718	11.679	0	0	6.23556	6.1299	0.0411061	-6.20833	0.570966	0.00659315	-0.995776	0.0915793
5	-13	Box-199	0	-1.79833	4656.05	98.6758	7.0829e-5	-0.1	0.00975134	0.000335196	12.0007	0.1722	12.0007	0	0	6.15671	6.05105	0.00433951	-6.12674	0.597439	0.000704946	-0.995279	0.0970531
