eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
5	-13	Box-224	0	3.39102	7056.05	-0.084504	0.0114765	-0.1	0.000161823	0.000337502	4.00186	0.383256	4.00186	0	1.51163e-8	1.03978	0.934118	0.117938	-1.02765	0.00166297	0.114016	-0.993478	0.00160767
5	-13	Box-223	0	15.9335	6960.05	2.91418	0.014551	-0.1	0.00581219	0.00033966	4.32687	0.417341	4.32687	0	0	0.969004	0.863346	0.138469	-0.951616	0.0553097	0.143756	-0.987946	0.0574213
5	-13	Box-222	0	29.3719	6864.05	7.7045	0.0139628	-0.1	0.00622724	0.000339934	4.70565	0.460616	4.70565	0	0	0.87403	0.768371	0.119752	-0.857654	0.0534082	0.138024	-0.988514	0.0615572
5	-13	Box-221	0	43.2399	6768.05	15.313	0.0139692	-0.1	0.00885321	0.000341015	5.03277	0.50135	5.03277	0	0	0.809315	0.703657	0.110585	-0.791635	0.0700852	0.13782	-0.986598	0.0873457
5	-13	Box-220	0	53.9212	6672.05	22.9777	0.00770711	-0.1	0.00539576	0.00033841	5.35904	0.545017	5.35904	0	0	0.750313	0.644654	0.0569995	-0.73957	0.0399055	0.0767322	-0.995603	0.0537204
5	-13	Box-219	0	61.6057	6576.05	30.2927	0.00817029	-0.1	0.00910741	0.000340204	5.68484	0.593047	5.68484	0	0	0.678428	0.57277	0.0543479	-0.665189	0.0605815	0.0810981	-0.992598	0.0904
5	-13	Box-218	0	68.0098	6480.05	38.2823	0.00802539	-0.1	0.00623816	0.000340811	6.01148	0.647153	6.01148	0	0	0.589091	0.483433	0.0462718	-0.576567	0.0359672	0.0798425	-0.994874	0.0620618
5	-13	Box-217	0	78.621	6384.05	45.2697	0.015407	-0.1	0.0079355	0.000345461	6.34048	0.708347	6.34048	0	0	0.530412	0.424754	0.0789068	-0.512148	0.0406415	0.151807	-0.985313	0.0781895
5	-13	Box-216	0	89.0112	6288.05	52.8128	0.00772264	-0.1	0.0085029	0.000344739	6.67119	0.778157	6.67119	0	7.07379e-9	0.466002	0.360343	0.0348214	-0.450901	0.0383396	0.076722	-0.993468	0.0844735
5	-13	Box-215	0	94.169	6192.05	64.3817	0.00290564	-0.1	0.0190095	0.000351956	7.0043	0.858037	7.0043	0	2.04728e-8	0.40355	0.297892	0.0111131	-0.382465	0.0727046	0.0285336	-0.982007	0.186674
5	-13	Box-214	0	95.4538	6096.05	83.7444	-0.0025019	-0.1	0.0206965	0.000358816	7.34513	0.954578	7.34513	0	1.24122e-7	0.337107	0.231449	-0.00784055	-0.313384	0.0648595	-0.0244924	-0.978953	0.202609
