eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	-0.169688	7056.05	0.127847	-0.00049799	-0.1	0.000172847	0.000333642	3.98378	0.0824658	3.98378	0	1.68365e-8	5.04312	4.93746	-0.0251084	-5.04194	0.00871486	-0.00497983	-0.999986	0.00172845
0	-13	Box-223	0	-0.549723	6960.05	0.640661	-0.00063114	-0.1	0.000614509	0.000333652	4.30408	0.0892085	4.30408	0	2.54198e-8	4.97495	4.86929	-0.0313906	-4.97364	0.0305634	-0.00631116	-0.999961	0.00614485
0	-13	Box-222	0	-1.11061	6864.05	1.38723	-0.000398985	-0.1	0.000690035	0.000333652	4.62439	0.0960296	4.62439	0	2.95812e-8	4.91178	4.80612	-0.0195921	-4.91049	0.0338841	-0.00398972	-0.999968	0.00690013
0	-13	Box-221	0	-1.299	6768.05	2.39855	0.000292046	-0.1	0.0013706	0.000333676	4.94471	0.102951	4.94471	0	0	4.84971	4.74406	0.0141586	-4.84809	0.0664477	0.00292017	-0.999902	0.0137046
0	-13	Box-220	0	-0.441412	6672.05	9.12714	-0.000452424	-0.1	0.00330926	0.000333831	5.16518	0.107769	5.16518	0	0	4.81507	4.70941	-0.0217671	-4.81123	0.159216	-0.00452171	-0.999443	0.0330741
0	-13	Box-219	0	-0.245107	6576.05	12.5725	0.000881282	-0.1	0.00351254	0.000333869	5.4857	0.114924	5.4857	0	0	4.64093	4.53527	0.0408622	-4.63668	0.162865	0.00880704	-0.999345	0.0351024
0	-13	Box-218	0	0.514306	6480.05	15.8162	0.000709681	-0.1	0.00304739	0.000333816	5.8062	0.122263	5.8062	0	0	4.57826	4.4726	0.0324665	-4.5748	0.139412	0.00709334	-0.999511	0.030459
0	-13	Box-217	0	0.867207	6384.05	18.9411	9.70799e-5	-0.1	0.003028	0.000333809	6.12668	0.129708	6.12668	0	0	4.5085	4.40284	0.00437364	-4.5052	0.136417	0.000970354	-0.999541	0.0302661
0	-13	Box-216	0	0.83453	6288.05	22.1772	-0.00027236	-0.1	0.00348938	0.000333863	6.44717	0.137275	6.44717	0	1.76932e-8	4.43206	4.32641	-0.0120603	-4.42809	0.154513	-0.00272193	-0.999388	0.0348725
0	-13	Box-215	0	0.469607	6192.05	26.1215	-0.000513737	-0.1	0.00478924	0.000334049	6.76776	0.14497	6.76776	0	0	4.36266	4.257	-0.0223801	-4.35633	0.208635	-0.00513142	-0.998842	0.0478369
0	-13	Box-214	0	0.102631	6096.05	31.5988	-0.000294768	-0.1	0.00608558	0.000334283	7.08861	0.152765	7.08861	0	1.01046e-7	4.30352	4.19786	-0.0126581	-4.29426	0.26133	-0.00294222	-0.998149	0.0607431
0	-13	Box-213	0	-0.362713	6000.05	37.527	-0.0010656	-0.1	0.00641595	0.000334373	7.40955	0.16069	7.40955	0	0	4.23925	4.13359	-0.045064	-4.22899	0.27133	-0.0106335	-0.997892	0.0640243
0	-13	Box-212	0	-1.66373	5904.05	44.1583	-0.00201737	-0.1	0.00744115	0.000334661	7.73067	0.168736	7.73067	0	0	4.17735	4.07169	-0.0839964	-4.16366	0.309824	-0.020114	-0.997041	0.0741914
0	-13	Box-211	0	-3.89962	5808.05	51.6499	-0.0027827	-0.1	0.0082616	0.00033494	8.05206	0.17692	8.05206	0	3.00569e-8	4.10241	3.99675	-0.113689	-4.08555	0.337532	-0.0277218	-0.996222	0.0823038
0	-13	Box-210	0	-6.91387	5712.05	60.0293	-0.00393783	-0.1	0.00931452	0.00033538	8.37377	0.185257	8.37377	0	2.1173e-8	4.03406	3.92841	-0.157994	-4.01222	0.373719	-0.0391785	-0.994926	0.0926725
0	-13	Box-209	0	-10.6748	5616.05	69.1151	-0.00337276	-0.1	0.00956756	0.000335397	8.69578	0.193769	8.69578	0	0	3.93271	3.82705	-0.131916	-3.91122	0.374208	-0.0335554	-0.994894	0.095187
0	-13	Box-208	0	-12.8902	5520.05	78.4039	-0.00152872	-0.1	0.010133	0.000335436	9.01771	0.202469	9.01771	0	0	3.87003	3.76437	-0.0588317	-3.84844	0.389961	-0.0152075	-0.99479	0.100802
0	-13	Box-207	0	-14.0472	5424.05	87.7268	-0.000789063	-0.1	0.00921432	0.000335118	9.33959	0.211329	9.33959	0	0	3.78689	3.68124	-0.0297424	-3.76934	0.347319	-0.0078571	-0.995751	0.0917517
0	-13	Box-206	0	-14.7469	5328.05	97.0224	-0.000605109	-0.1	0.0100211	0.000335376	9.66145	0.220364	9.66145	0	0	3.72226	3.6166	-0.0224048	-3.70215	0.37099	-0.00602158	-0.994999	0.0997081
0	-13	Box-205	0	-15.5652	5232.05	107.436	-0.00135477	-0.1	0.011992	0.000336125	9.9837	0.229567	9.9837	0	0	3.65918	3.55352	-0.0492352	-3.63131	0.43542	-0.0134609	-0.992798	0.119044
0	-13	Box-204	0	-16.9725	5136.05	119.727	-0.00139779	-0.1	0.014051	0.000337019	10.3067	0.238955	10.3067	0	0	3.59399	3.48833	-0.0497215	-3.55715	0.499814	-0.0138406	-0.990177	0.13913
0	-13	Box-203	0	-18.3928	5040.05	133.88	-0.00131506	-0.1	0.0156033	0.00033778	10.6306	0.248546	10.6306	0	0	3.52863	3.42297	-0.0458245	-3.48459	0.543711	-0.0129923	-0.987961	0.154155
0	-13	Box-202	0	-19.6625	4944.05	148.579	-0.0013511	-0.1	0.0150351	0.000337501	10.9547	0.258337	10.9547	0	0	3.45627	3.35061	-0.0461528	-3.41595	0.513593	-0.0133596	-0.988797	0.148667
0	-13	Box-201	0	-21.0173	4848.05	163.32	-0.00138176	-0.1	0.0155201	0.000337753	11.2789	0.26831	11.2789	0	1.75611e-8	3.39303	3.28737	-0.0463022	-3.35095	0.520072	-0.0136529	-0.988077	0.153351
0	-13	Box-200	0	-22.2812	4752.05	178.164	-0.00130587	-0.1	0.0151932	0.000337591	11.6031	0.278489	11.6031	0	1.53188e-8	3.32408	3.21842	-0.0428904	-3.28443	0.499009	-0.0129095	-0.988572	0.150196
0	-13	Box-199	0	-23.4804	4656.05	192.687	-0.00107997	-0.1	0.0144913	0.000337245	11.9272	0.288851	11.9272	0	0	3.2548	3.14914	-0.0347673	-3.21927	0.466515	-0.0106875	-0.989606	0.143407
0	-13	Box-198	0	-24.4778	4560.05	206.516	-0.00108987	-0.1	0.0150636	0.000337532	12.2509	0.299445	12.2509	0	8.30623e-8	3.18913	3.08347	-0.0343487	-3.15163	0.474749	-0.0107765	-0.988787	0.148947
0	-13	Box-197	0	-25.5696	4464.05	221.793	-0.00084286	-0.1	0.0172101	0.000338674	12.5753	0.310268	12.5753	0	0	3.1211	3.01544	-0.0259096	-3.07401	0.52904	-0.0083062	-0.985478	0.169602
0	-13	Box-196	0	-26.6066	4368.05	238.128	-0.00159285	-0.1	0.0169487	0.000338565	12.9004	0.321364	12.9004	0	5.58292e-8	3.05784	2.95218	-0.0479873	-3.01267	0.510608	-0.0157026	-0.985818	0.167083
0	-13	Box-195	0	-28.0316	4272.05	254.745	-0.00159409	-0.1	0.0175231	0.000338901	13.2256	0.332716	13.2256	0	0	2.98476	2.8791	-0.0468306	-2.93776	0.514788	-0.0156997	-0.98487	0.17258
0	-13	Box-194	0	-29.6588	4176.05	272.091	-0.00207041	-0.1	0.0189049	0.000339765	13.5513	0.344295	13.5513	0	0	2.92315	2.81749	-0.0594167	-2.8698	0.542533	-0.0203396	-0.982392	0.18572
0	-13	Box-193	0	-31.0217	4080.05	290.602	-0.000777529	-0.1	0.0195126	0.000340101	13.8776	0.356232	13.8776	0	0	2.83828	2.73262	-0.0216443	-2.78373	0.543179	-0.00763114	-0.981461	0.191509
0	-13	Box-192	0	-31.6367	3984.05	309.137	-0.000181327	-0.1	0.0177056	0.000338998	14.204	0.368475	14.204	0	0	2.77754	2.67188	-0.00495571	-2.73302	0.483897	-0.0017855	-0.984683	0.174344
0	-13	Box-191	0	-31.4602	3888.05	326.191	0.000120175	-0.1	0.0191592	0.000339899	14.5295	0.381117	14.5295	0	0	2.66264	2.55698	0.0031402	-2.61301	0.500634	0.00118029	-0.982136	0.18817
0	-13	Box-190	0	85.4246	3792.05	382.625	0.0058628	-0.1	0.0205971	0.000341413	14.8803	0.395216	14.8803	0	0	2.58405	2.47839	0.148015	-2.52464	0.520004	0.0573282	-0.977829	0.201405
0	-13	Box-189	0	91.0929	3696.05	402.329	0.00616836	-0.1	0.0201377	0.000341183	15.2081	0.408769	15.2081	0	0	2.5147	2.40905	0.151652	-2.45855	0.495096	0.0603594	-0.978533	0.197054
0	-13	Box-188	0	97.3796	3600.05	421.384	0.00685022	-0.1	0.0189004	0.000340556	15.5355	0.422663	15.5355	0	0	2.44671	2.34106	0.164164	-2.39648	0.452944	0.0671585	-0.980385	0.185296
0	-13	Box-187	0	103.768	3504.05	440.029	0.00588366	-0.1	0.01988	0.000340992	15.8627	0.436868	15.8627	0	0	2.38648	2.28082	0.137354	-2.33449	0.464097	0.0576115	-0.979177	0.19466
0	-13	Box-186	0	108.989	3408.05	459.572	0.00510052	-0.1	0.0205143	0.000341294	16.1903	0.451559	16.1903	0	7.24739e-8	2.30676	2.2011	0.115002	-2.25452	0.462515	0.0499066	-0.978378	0.200714
0	-13	Box-185	0	114.574	3312.05	479.593	0.00593192	-0.1	0.0214028	0.000342079	16.5183	0.466812	16.5183	0	0	2.22333	2.11767	0.128603	-2.16799	0.46401	0.0579081	-0.976213	0.208937
0	-13	Box-184	0	120.114	3216.05	501.784	0.00502944	-0.1	0.0252444	0.000345088	16.848	0.484416	16.848	0	0	1.72149	1.61583	0.0836901	-1.664	0.420067	0.0487067	-0.968432	0.244475
0	-13	Box-183	0	124.456	3120.05	525.957	0.00385384	-0.1	0.024747	0.000344568	17.1792	0.505083	17.1792	0	3.40287e-8	1.6565	1.55084	0.0618001	-1.6036	0.396842	0.0373837	-0.970039	0.240055
0	-13	Box-182	0	128.232	3024.05	550.859	0.00364234	-0.1	0.0277039	0.000347118	17.511	0.526635	17.511	0	0	1.58043	1.47477	0.0553169	-1.51872	0.420744	0.0350796	-0.963108	0.266818
0	-13	Box-181	0	130.989	2928.05	577.882	0.00265362	-0.1	0.0286117	0.000347909	17.8446	0.549342	17.8446	0	0	1.51542	1.40976	0.0385555	-1.45294	0.415711	0.0255042	-0.961109	0.27499
0	-13	Box-180	0	133.698	2832.05	606.138	0.00278277	-0.1	0.0299731	0.000349289	18.1794	0.5732	18.1794	0	0	1.44177	1.33611	0.038315	-1.37686	0.412688	0.0266466	-0.957557	0.287009
0	-13	Box-179	0	136.359	2736.05	635.755	0.00329391	-0.1	0.0309466	0.000350435	18.5156	0.598643	18.5156	0	0	1.34005	1.23439	0.0420148	-1.27553	0.394734	0.0314512	-0.954829	0.295487
0	-13	Box-178	0	139.315	2640.05	666.194	0.00168839	-0.1	0.0322333	0.00035172	18.8527	0.625756	18.8527	0	0	1.27485	1.1692	0.0204135	-1.20905	0.389716	0.0160677	-0.951654	0.30675
0	-13	Box-177	0	140.408	2544.05	698.479	-0.000953845	-0.1	0.03572	0.000355576	19.1918	0.654172	19.1918	0	0	1.21121	1.10556	-0.0108379	-1.13624	0.405864	-0.00898223	-0.941687	0.336371
0	-13	Box-176	0	138.894	2448.05	734.583	-0.00346622	-0.1	0.0394849	0.000360377	19.5354	0.685024	19.5354	0	6.44018e-8	1.13516	1.0295	-0.0364199	-1.05071	0.414871	-0.0322233	-0.929637	0.367066
0	-13	Box-175	0	138.711	2352.05	776.519	0.00414057	-0.1	0.0455763	0.000368655	19.8867	0.718615	19.8867	0	0	1.06483	0.959172	0.0398934	-0.963476	0.439117	0.0376503	-0.909303	0.414427
0	-13	Box-174	0	141.191	2256.05	821.518	-0.000487881	-0.1	0.0492416	0.000373948	20.2424	0.755035	20.2424	0	0	0.990846	0.885188	-0.0043121	-0.883843	0.435218	-0.0043769	-0.897124	0.441758
0	-13	Box-173	0	139.134	2160.05	872.102	-0.00489474	-0.1	0.0575652	0.000387962	20.6069	0.795709	20.6069	0	0	0.89189	0.786232	-0.0375345	-0.766835	0.44143	-0.0423827	-0.865883	0.498448
0	-13	Box-172	0	132.025	2064.05	929.814	-0.0114894	-0.1	0.0647383	0.000402579	20.9843	0.842069	20.9843	0	0	0.817977	0.712319	-0.0778695	-0.677751	0.438764	-0.0960019	-0.835569	0.540933
0	-13	Box-171	0	121.275	1968.05	991.879	-0.0107959	-0.1	0.0605507	0.000395546	21.3708	0.893478	21.3708	0	0	0.750682	0.645023	-0.0683437	-0.633053	0.383318	-0.0919577	-0.851783	0.515761
0	-13	Box-170	0	112.771	1872.05	1051.45	-0.00439109	-0.1	0.0624413	0.000398713	21.7532	0.950936	21.7532	0	0	0.657035	0.551376	-0.0241368	-0.549677	0.343226	-0.0372203	-0.847634	0.529274
0	-13	Box-169	0	109.219	1776.05	1115.26	-0.000863241	-0.1	0.0726286	0.000419151	22.1435	1.01534	22.1435	0	0	0.585576	0.479917	-0.00402279	-0.466011	0.338457	-0.00698445	-0.809096	0.587635
0	-13	Box-168	0	110.702	1680.05	1194.62	-0.000773795	-0.1	0.092566	0.000465157	22.5677	1.09753	22.5677	0	0	0.497547	0.391889	-0.00276087	-0.356795	0.330271	-0.00567847	-0.733846	0.679292
0	-13	Box-167	0	107.381	1584.05	1289.77	-0.0021064	-0.1	0.101994	0.000492959	23.0314	1.20351	23.0314	0	1.00965e-7	0.412505	0.306847	-0.00587956	-0.279128	0.284693	-0.0147452	-0.700017	0.713974
0	-13	Box-166	0	100.137	1488.05	1396.53	-0.0153772	-0.1	0.119835	0.000555325	23.5333	1.34945	23.5333	0	0	0.314957	0.209299	-0.0290926	-0.189198	0.226698	-0.0980522	-0.637662	0.764051
0	-13	Box-165	0	88.9894	1392.05	1521.42	0.000181152	-0.1	0.156754	0.000715753	24.1131	1.58495	24.1131	0	2.54556e-8	0.211692	0.106034	0.000171982	-0.0986304	0.154667	0.000937543	-0.537674	0.843153
5	-13	Box-224	0	0.0561227	7056.05	0.0973586	0.000625027	-0.1	0.000338279	0.000333646	3.98378	0.0824848	3.98378	0	2.94661e-8	5.03436	4.9287	0.0314584	-5.03312	0.017026	0.00625011	-0.999975	0.0033827
5	-13	Box-223	0	0.487935	6960.05	1.04122	6.28811e-5	-0.1	0.00194524	0.000333703	4.3041	0.0892383	4.3041	0	0	4.97013	4.86447	0.00312397	-4.96806	0.0966406	0.000628692	-0.999811	0.0194487
5	-13	Box-222	0	0.447749	6864.05	3.16927	-6.34696e-5	-0.1	0.00238831	0.000333737	4.62447	0.0960952	4.62447	0	0	4.88952	4.78386	-0.00310175	-4.88699	0.116717	-0.000634515	-0.999715	0.0238763
5	-13	Box-221	0	0.162868	6768.05	5.9703	-0.000718722	-0.1	0.00354219	0.000333862	4.94491	0.103056	4.94491	0	0	4.82552	4.71987	-0.0346811	-4.82122	0.170782	-0.00718874	-0.999347	0.0354
5	-13	Box-220	0	-0.478232	6672.05	9.0624	-0.000573291	-0.1	0.00296077	0.000333799	5.26539	0.110129	5.26539	0	2.74651e-8	4.7373	4.63164	-0.0271394	-4.73397	0.140162	-0.00573031	-0.999546	0.0295943
5	-13	Box-219	0	-1.38981	6576.05	11.8512	-0.0011084	-0.1	0.00278822	0.0003338	5.58584	0.117315	5.58584	0	0	4.67531	4.56965	-0.0517847	-4.67201	0.130266	-0.011079	-0.99955	0.0278696
5	-13	Box-218	0	0.611794	6480.05	16.1816	0.00102572	-0.1	0.00414453	0.000333957	6.0363	0.12758	6.0363	0	0	4.5694	4.46374	0.0468142	-4.56402	0.189157	0.0102479	-0.99909	0.0414076
5	-13	Box-217	0	1.53515	6384.05	20.3475	4.24085	-0.1	1.26254	0.000334355	6.35693	0.135014	6.35693	0	0	4.50982	4.40416	0.0143908	-4.49864	0.298979	0.00319187	-0.997794	0.0663133
5	-13	Box-216	0	6.18843	6288.05	28.3069	0.000545695	-0.1	0.00730969	0.000334554	6.67802	0.142585	6.67802	0	0	4.43793	4.33228	0.0241459	-4.4248	0.323439	0.00544235	-0.997324	0.0729013
5	-13	Box-215	0	6.68111	6192.05	35.8245	0.000540498	-0.1	0.00825788	0.000334815	6.99933	0.150477	6.99933	0	0	4.10987	4.00421	0.0221308	-4.09452	0.33812	0.00538657	-0.996593	0.0822975
5	-13	Box-214	0	6.90709	6096.05	44.0585	-0.000919693	-0.1	0.00892072	0.000335017	7.32084	0.158768	7.32084	0	0	4.04972	3.94407	-0.0370835	-4.03216	0.359698	-0.00916017	-0.996003	0.0888506
5	-13	Box-213	0	6.24077	6000.05	53.1436	-0.000387321	-0.1	0.00974463	0.000335265	7.64261	0.167231	7.64261	0	6.99988e-8	3.97506	3.8694	-0.0153181	-3.95489	0.385389	-0.00385492	-0.995278	0.0969862
5	-13	Box-212	0	5.80776	5904.05	62.9773	-0.000489573	-0.1	0.0110403	0.000335717	7.96463	0.175839	7.96463	0	0	3.91153	3.80587	-0.019027	-3.88644	0.429074	-0.00486611	-0.993949	0.109735
5	-13	Box-211	0	6.03063	5808.05	73.6286	0.00119655	-0.1	0.0107545	0.000335638	8.28695	0.1846	8.28695	0	0	3.849	3.74334	0.0457707	-3.82522	0.411382	0.0118961	-0.994196	0.106921
5	-13	Box-210	0	7.47563	5712.05	83.639	0.00209329	-0.1	0.00979059	0.000335363	8.60907	0.193501	8.60907	0	9.36562e-9	3.78129	3.67563	0.0787288	-3.76101	0.368225	0.0208287	-0.995025	0.0974189
5	-13	Box-209	0	9.36775	5616.05	93.3885	0.00157985	-0.1	0.0107535	0.000335664	8.93113	0.202556	8.93113	0	0	3.71403	3.60837	0.0583089	-3.69079	0.396889	0.015706	-0.994145	0.106905
5	-13	Box-208	0	10.8641	5520.05	103.936	0.0012274	-0.1	0.0109911	0.00033574	9.25345	0.211817	9.25345	0	0	3.63286	3.5272	0.0443007	-3.60932	0.396704	0.0121996	-0.99394	0.109245
5	-13	Box-207	0	11.7633	5424.05	114.649	0.000596213	-0.1	0.0115254	0.000335926	9.57582	0.221274	9.57582	0	0	3.56025	3.45459	0.0210774	-3.53522	0.407449	0.00592282	-0.993406	0.114494
5	-13	Box-206	0	12.7851	5328.05	126.362	0.00144075	-0.1	0.0129959	0.000336557	9.89858	0.230918	9.89858	0	0	3.49804	3.39238	0.0499496	-3.46693	0.450558	0.0142859	-0.99156	0.128862
5	-13	Box-205	0	13.6915	5232.05	139.343	0.000820338	-0.1	0.0140827	0.000337037	10.2219	0.240994	10.2219	0	3.88378e-8	3.32509	3.21944	0.026996	-3.29083	0.463438	0.00812296	-0.990196	0.139446
5	-13	Box-204	0	14.3973	5136.05	153.44	0.00118284	-0.1	0.0151662	0.000337579	10.5457	0.251364	10.5457	0	0	3.25998	3.15432	0.0381018	-3.22121	0.488534	0.0116939	-0.988626	0.149937
5	-13	Box-203	0	15.5749	5040.05	168.327	0.00140706	-0.1	0.0164549	0.000338269	10.87	0.261979	10.87	0	0	3.17963	3.07397	0.0441171	-3.1354	0.515927	0.0138826	-0.986636	0.16235
5	-13	Box-202	0	16.6654	4944.05	184.871	0.00162256	-0.1	0.0181093	0.000339229	11.1951	0.272883	11.1951	0	4.56872e-8	3.11046	3.0048	0.0496263	-3.05852	0.553877	0.0159638	-0.98387	0.178172
5	-13	Box-201	0	18.1681	4848.05	202.337	0.0012611	-0.1	0.0185653	0.000339494	11.5208	0.284025	11.5208	0	0	3.04757	2.94191	0.0377615	-2.99434	0.555908	0.0123981	-0.983124	0.18252
5	-13	Box-200	0	18.8456	4752.05	220.545	-0.000449084	-0.1	0.0194815	0.000340052	11.847	0.295418	11.847	0	3.06068e-8	2.98182	2.87616	-0.0131354	-2.92493	0.569821	-0.00440793	-0.981538	0.191218
5	-13	Box-199	0	18.5598	4656.05	239.669	0.000156165	-0.1	0.0208659	0.000340973	12.1737	0.307089	12.1737	0	0	2.91236	2.8067	0.00444928	-2.84908	0.594485	0.00152873	-0.978916	0.204259
5	-13	Box-198	0	18.6155	4560.05	259.913	-0.000232972	-0.1	0.0215899	0.000341486	12.5012	0.319079	12.5012	0	0	2.84737	2.74171	-0.00647968	-2.78132	0.600483	-0.00227724	-0.977476	0.211036
5	-13	Box-197	0	18.8147	4464.05	280.774	0.000698545	-0.1	0.0216263	0.000341532	12.8291	0.331375	12.8291	0	0	2.768	2.66234	0.0188846	-2.70342	0.58465	0.00682746	-0.977382	0.211372
5	-13	Box-196	0	19.0545	4368.05	302.124	0.000130365	-0.1	0.0229846	0.000342524	13.1574	0.344025	13.1574	0	0	2.70132	2.59567	0.00342947	-2.63066	0.604648	0.00127052	-0.974587	0.224005
5	-13	Box-195	0	19.1479	4272.05	324.437	-4.64032e-5	-0.1	0.0237037	0.000343083	13.4865	0.357019	13.4865	0	0	2.63393	2.52827	-0.00118832	-2.56085	0.607017	-0.00045152	-0.973038	0.230646
5	-13	Box-194	0	18.9615	4176.05	347.659	-0.000143148	-0.1	0.0245427	0.000343756	13.8162	0.370408	13.8162	0	0	2.56282	2.45716	-0.00355986	-2.48684	0.610338	-0.00139022	-0.971178	0.238353
5	-13	Box-193	0	19.2036	4080.05	371.727	0.000739099	-0.1	0.0251697	0.00034429	14.1466	0.384239	14.1466	0	1.12646e-8	2.47852	2.37286	0.017748	-2.40131	0.604402	0.00716726	-0.969729	0.244078
5	-13	Box-192	0	19.0298	3984.05	397.199	-0.00192101	-0.1	0.0278311	0.000346634	14.4783	0.398548	14.4783	0	0	2.40999	2.30433	-0.0445506	-2.31912	0.645436	-0.0185036	-0.96322	0.268075
5	-13	Box-191	0	16.5245	3888.05	425.096	-0.00380463	-0.1	0.0301561	0.000348988	14.8122	0.413368	14.8122	0	4.37824e-8	2.34131	2.23565	-0.0851413	-2.23783	0.674844	-0.0364019	-0.956779	0.288528
5	-13	Box-190	0	13.2659	3792.05	455.761	-0.00302589	-0.1	0.033529	0.000352344	15.1489	0.42881	15.1489	0	0	2.26217	2.15652	-0.0648026	-2.1416	0.718058	-0.0286774	-0.947735	0.317766
