eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	0.680432	7056.05	1.58849	0.00282366	-0.1	0.00317186	0.000335652	4.00146	0.383411	4.00146	0	0	1.02553	0.919872	0.0287774	-1.01915	0.0323261	0.0282111	-0.9991	0.03169
0	-13	Box-223	0	3.16601	6960.05	4.98018	-0.000180353	-0.1	0.00315061	0.000335778	4.32386	0.417576	4.32386	0	0	0.958356	0.852698	-0.00171703	-0.95204	0.0299951	-0.00180263	-0.999502	0.0314904
0	-13	Box-222	0	0.739471	6864.05	9.44268	-0.0050214	-0.1	0.00547055	0.000336838	4.64671	0.454225	4.64671	0	0	0.895029	0.789371	-0.0445062	-0.88633	0.0484872	-0.0500761	-0.997254	0.0545553
0	-13	Box-221	0	-4.11997	6768.05	16.9447	-0.00385816	-0.1	0.0104411	0.000338421	4.97081	0.493818	4.97081	0	4.86223e-07	0.823699	0.718041	-0.0313237	-0.811881	0.0847689	-0.0383448	-0.993862	0.10377
0	-13	Box-220	0	-8.01319	6672.05	29.763	-0.00503579	-0.1	0.0161455	0.000341696	5.29715	0.537162	5.29715	0	0	0.751539	0.645881	-0.0369454	-0.733656	0.118452	-0.0496528	-0.985998	0.159194
0	-13	Box-219	0	-13.8713	6576.05	46.9916	-0.00943916	-0.1	0.0223349	0.000347419	5.62686	0.5856	5.62686	0	0	0.682596	0.576937	-0.0618621	-0.655377	0.146378	-0.0917334	-0.971839	0.21706
0	-13	Box-218	0	-22.7682	6480.05	69.5865	-0.00851507	-0.1	0.0223808	0.000348013	5.96139	0.638388	5.96139	0	0	0.624436	0.518778	-0.0509637	-0.598512	0.133952	-0.0828096	-0.972506	0.217655
0	-13	Box-217	0	-29.2277	6384.05	95.8853	-0.00428192	-0.1	0.0313622	0.000356203	6.29974	0.698152	6.29974	0	0	0.563163	0.457505	-0.0225817	-0.527374	0.165396	-0.0408229	-0.953379	0.299001
0	-13	Box-216	0	-36.3565	6288.05	129.68	-0.0113236	-0.1	0.0408055	0.000370835	6.64737	0.767359	6.64737	0	0	0.493649	0.38799	-0.0502807	-0.444035	0.181191	-0.104272	-0.920836	0.375752
0	-13	Box-215	0	-47.8211	6192.05	174.898	-0.0161993	-0.1	0.0653009	0.000415051	7.01417	0.850878	7.01417	0	0	0.425216	0.319558	-0.0553584	-0.341734	0.223155	-0.134404	-0.829694	0.541797
